,sequence,error,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8,seq9,seq10,seq11,seq12,seq13,seq14,seq15,seq16,seq17,start_coords1.x,start_coords1.y,start_coords1.z,start_coords2.x,start_coords2.y,start_coords2.z,start_coords3.x,start_coords3.y,start_coords3.z,start_coords4.x,start_coords4.y,start_coords4.z,start_coords5.x,start_coords5.y,start_coords5.z,start_coords6.x,start_coords6.y,start_coords6.z,start_coords7.x,start_coords7.y,start_coords7.z,start_coords8.x,start_coords8.y,start_coords8.z,start_coords9.x,start_coords9.y,start_coords9.z,start_coords10.x,start_coords10.y,start_coords10.z,start_coords11.x,start_coords11.y,start_coords11.z,start_coords12.x,start_coords12.y,start_coords12.z,start_coords13.x,start_coords13.y,start_coords13.z,start_coords14.x,start_coords14.y,start_coords14.z,start_coords15.x,start_coords15.y,start_coords15.z,start_coords16.x,start_coords16.y,start_coords16.z,start_coords17.x,start_coords17.y,start_coords17.z,t.containment,t.strong_k,t.mid_k,t.food_k,o.containment,o.strong_k,o.mid_k,o.food_k,y.containment,y.strong_k,y.mid_k,y.food_k,u.containment,u.strong_k,u.mid_k,u.food_k,l.containment,l.strong_k,l.mid_k,l.food_k,d.containment,d.strong_k,d.mid_k,d.food_k,p.containment,p.strong_k,p.mid_k,p.food_k,m.containment,m.strong_k,m.mid_k,m.food_k,c.containment,c.strong_k,c.mid_k,c.food_k,i.containment,i.strong_k,i.mid_k,i.food_k,2.containment,2.strong_k,2.mid_k,2.food_k,k.containment,k.strong_k,k.mid_k,k.food_k,a.containment,a.strong_k,a.mid_k,a.food_k,v.containment,v.strong_k,v.mid_k,v.food_k,h.containment,h.strong_k,h.mid_k,h.food_k,e.containment,e.strong_k,e.mid_k,e.food_k,",.containment",",.strong_k",",.mid_k",",.food_k",n.containment,n.strong_k,n.mid_k,n.food_k,s.containment,s.strong_k,s.mid_k,s.food_k,w.containment,w.strong_k,w.mid_k,w.food_k,g.containment,g.strong_k,g.mid_k,g.food_k,r.containment,r.strong_k,r.mid_k,r.food_k,b.containment,b.strong_k,b.mid_k,b.food_k,_.containment,_.strong_k,_.mid_k,_.food_k,f.containment,f.strong_k,f.mid_k,f.food_k,coordinates_plate.x,coordinates_plate.y,coordinates_plate.z,coordinates_plate_small.x,coordinates_plate_small.y,coordinates_plate_small.z,coordinates_cup.x,coordinates_cup.y,coordinates_cup.z,coordinates_glass.x,coordinates_glass.y,coordinates_glass.z,coordinates_knife.x,coordinates_knife.y,coordinates_knife.z,coordinates_spoon_small.x,coordinates_spoon_small.y,coordinates_spoon_small.z,coordinates_wineglass.x,coordinates_wineglass.y,coordinates_wineglass.z,coordinates_fork.x,coordinates_fork.y,coordinates_fork.z,coordinates_spoon.x,coordinates_spoon.y,coordinates_spoon.z,coordinates_tray.x,coordinates_tray.y,coordinates_tray.z,coordinates_fork_small.x,coordinates_fork_small.y,coordinates_fork_small.z,coordinates_napkin.x,coordinates_napkin.y,coordinates_napkin.z,coordinates_silverware.x,coordinates_silverware.y,coordinates_silverware.z,coordinates_placemat.x,coordinates_placemat.y,coordinates_placemat.z,coordinates_container.x,coordinates_container.y,coordinates_container.z,coordinates_table_cloth.x,coordinates_table_cloth.y,coordinates_table_cloth.z,coordinates_cereal.x,coordinates_cereal.y,coordinates_cereal.z,coordinates_cutting_board.x,coordinates_cutting_board.y,coordinates_cutting_board.z,coordinates_can.x,coordinates_can.y,coordinates_can.z,coordinates_bowl.x,coordinates_bowl.y,coordinates_bowl.z,coordinates_bottle.x,coordinates_bottle.y,coordinates_bottle.z,coordinates_tomato_plate.x,coordinates_tomato_plate.y,coordinates_tomato_plate.z,coordinates_milk.x,coordinates_milk.y,coordinates_milk.z,coordinates_grapes.x,coordinates_grapes.y,coordinates_grapes.z,coordinates_yoghurt.x,coordinates_yoghurt.y,coordinates_yoghurt.z,coordinates_blueberries.x,coordinates_blueberries.y,coordinates_blueberries.z,coordinates_bananas.x,coordinates_bananas.y,coordinates_bananas.z,coordinates_apricots.x,coordinates_apricots.y,coordinates_apricots.z,coordinates_tupperware.x,coordinates_tupperware.y,coordinates_tupperware.z,coordinates_bread.x,coordinates_bread.y,coordinates_bread.z,coordinates_salad.x,coordinates_salad.y,coordinates_salad.z,coordinates_oil.x,coordinates_oil.y,coordinates_oil.z,coordinates_water.x,coordinates_water.y,coordinates_water.z,coordinates_beer.x,coordinates_beer.y,coordinates_beer.z,coordinates_cheese.x,coordinates_cheese.y,coordinates_cheese.z,coordinates_biscuit.x,coordinates_biscuit.y,coordinates_biscuit.z,coordinates_food.x,coordinates_food.y,coordinates_food.z,coordinates_plate2.x,coordinates_plate2.y,coordinates_plate2.z,coordinates_drink.x,coordinates_drink.y,coordinates_drink.z
156,"plate,knife,fork,spoon,glass,cup,bowl,bottle",0.785,plate,knife,fork,spoon,glass,cup,bowl,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,8.0,2.0,,,,3.0,8.0,2.0,6.0,8.0,2.0,4.0,8.0,2.0,,,,,,,5.0,8.0,2.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,9.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"plate,cup,fork,knife,spoon,bottle,glass,bowl",0.785,plate,cup,fork,knife,spoon,bottle,glass,bowl,,,,,,,,,,8.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0,8.0,2.0,,,,6.0,8.0,2.0,8.0,8.0,2.0,3.0,8.0,2.0,,,,,,,7.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"plate,bowl,cup,fork,spoon,knife,glass,bottle",0.785,plate,bowl,cup,fork,spoon,knife,glass,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,8.0,2.0,,,,3.0,8.0,2.0,9.0,8.0,2.0,8.0,8.0,2.0,,,,,,,5.0,8.0,2.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,2.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"plate,bowl,fork,knife,cup,spoon,glass,bottle",0.785,plate,bowl,fork,knife,cup,spoon,glass,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0,8.0,2.0,,,,8.0,8.0,2.0,3.0,8.0,2.0,5.0,8.0,2.0,,,,,,,4.0,8.0,2.0,9.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,2.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"plate,cup,spoon,fork,knife,bowl,glass,bottle",0.785,plate,cup,spoon,fork,knife,bowl,glass,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,8.0,2.0,,,,5.0,8.0,2.0,8.0,8.0,2.0,2.0,8.0,2.0,,,,,,,4.0,8.0,2.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,2.0,9.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"plate,knife,fork,spoon,bottle,bowl,glass,cup",0.785,plate,knife,fork,spoon,bottle,bowl,glass,cup,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,8.0,2.0,,,,9.0,8.0,2.0,8.0,8.0,2.0,5.0,8.0,2.0,,,,,,,3.0,8.0,2.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"plate,knife,fork,spoon,glass,cup,bowl,bottle",0.785,plate,knife,fork,spoon,glass,cup,bowl,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,8.0,2.0,,,,9.0,8.0,2.0,7.0,8.0,2.0,2.0,8.0,2.0,,,,,,,8.0,8.0,2.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,2.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"plate,knife,fork,spoon,glass,cup,bowl,bottle",0.785,plate,knife,fork,spoon,glass,cup,bowl,bottle,,,,,,,,,,8.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,8.0,2.0,,,,7.0,8.0,2.0,8.0,8.0,2.0,3.0,8.0,2.0,,,,,,,6.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,9.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"plate,knife,fork,spoon,glass,cup,bottle,bowl",0.785,plate,knife,fork,spoon,glass,cup,bottle,bowl,,,,,,,,,,8.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,8.0,2.0,,,,9.0,8.0,2.0,7.0,8.0,2.0,4.0,8.0,2.0,,,,,,,6.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,2.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"plate,knife,fork,bowl,spoon,cup,bottle,glass",0.785,plate,knife,fork,bowl,spoon,cup,bottle,glass,,,,,,,,,,8.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,8.0,2.0,,,,3.0,8.0,2.0,7.0,8.0,2.0,8.0,8.0,2.0,,,,,,,6.0,8.0,2.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"plate,knife,bowl,spoon,fork,glass,cup,bottle",0.785,plate,knife,bowl,spoon,fork,glass,cup,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0,8.0,2.0,,,,5.0,8.0,2.0,2.0,8.0,2.0,7.0,8.0,2.0,,,,,,,4.0,8.0,2.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,2.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"plate,knife,fork,bowl,spoon,cup,glass,bottle",0.785,plate,knife,fork,bowl,spoon,cup,glass,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,8.0,2.0,,,,9.0,8.0,2.0,4.0,8.0,2.0,2.0,8.0,2.0,,,,,,,7.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,2.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"plate,knife,fork,spoon,bowl,glass,bottle,cup",0.785,plate,knife,fork,spoon,bowl,glass,bottle,cup,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,8.0,2.0,,,,9.0,8.0,2.0,8.0,8.0,2.0,4.0,8.0,2.0,,,,,,,7.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,2.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"plate,knife,fork,spoon,bottle,glass,bowl,cup",0.785,plate,knife,fork,spoon,bottle,glass,bowl,cup,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,8.0,2.0,,,,2.0,8.0,2.0,3.0,8.0,2.0,6.0,8.0,2.0,,,,,,,5.0,8.0,2.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,8.0,2.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"plate,knife,fork,spoon,glass,cup,bottle,bowl",0.785,plate,knife,fork,spoon,glass,cup,bottle,bowl,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,8.0,2.0,,,,5.0,8.0,2.0,9.0,8.0,2.0,7.0,8.0,2.0,,,,,,,4.0,8.0,2.0,3.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,8.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"plate,knife,fork,spoon,glass,cup,bowl,bottle",0.785,plate,knife,fork,spoon,glass,cup,bowl,bottle,,,,,,,,,,2.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0,8.0,2.0,,,,3.0,8.0,2.0,6.0,8.0,2.0,8.0,8.0,2.0,,,,,,,4.0,8.0,2.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,2.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"plate,knife,fork,spoon,glass,cup,bottle,bowl",0.785,plate,knife,fork,spoon,glass,cup,bottle,bowl,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,8.0,2.0,,,,3.0,8.0,2.0,7.0,8.0,2.0,6.0,8.0,2.0,,,,,,,8.0,8.0,2.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,2.0,9.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"plate,knife,fork,spoon,bottle,cup,glass,bowl",0.785,plate,knife,fork,spoon,bottle,cup,glass,bowl,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,8.0,2.0,,,,7.0,8.0,2.0,9.0,8.0,2.0,8.0,8.0,2.0,,,,,,,6.0,8.0,2.0,4.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,2.0,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"plate,knife,fork,spoon,bowl,cup,glass,bottle",0.785,plate,knife,fork,spoon,bowl,cup,glass,bottle,,,,,,,,,,5.5,6.5,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,5.5,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,8.0,2.0,,,,8.0,8.0,2.0,9.0,8.0,2.0,4.0,8.0,2.0,,,,,,,2.0,8.0,2.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,2.0,6.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
